Class,Order,Family,Genus,Species,Fruit_diameter,Fruit_length,Fleshy_fruit,Seed_mass,Plant_height,Habitat,Native,Growth_form
Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus.mahaleb,8.3,8.0,Yes,0.079,3.7,climax,1,tree
Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus.monogyna,9.3,12.1,Yes,0.124,4.0,climax,1,tree
Magnoliopsida,Ranunculales,Berberidaceae,Berberis,Berberis.vulgaris,5.5,10.4,Yes,0.02,1.2,climax,1,shrub
Gymnospermae,Pinopsida,Cupressaceae,Juniperus,Juniperus.phoenicea,11.5,9.9,Yes,0.047,0.6,climax,1,shrub
Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera.arborea,8.0,7.6,Yes,0.01,3.0,climax,1,shrub
Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa.canina,9.2,15.0,Yes,0.009,2.2,climax,1,shrub
Gymnospermae,Pinopsida,Taxaceae,Taxus,Taxus.baccata,10.9,10.3,Yes,0.07,5.5,climax,1,tree
Magnoliopsida,Apiales,Araliaceae,Hedera,Hedera.helix,8.4,7.2,Yes,0.016,3.0,climax,1,liana
Gymnospermae,Pinopsida,Cupressaceae,Juniperus,Juniperus.communis,8.6,8.2,Yes,0.011,0.6,climax,1,shrub
Gymnospermae,Pinopsida,Cupressaceae,Juniperus,Juniperus.sabina,8.7,7.3,Yes,0.011,0.6,climax,1,shrub
Magnoliopsida,Sapindales,Anacardiaceae,Pistacia,Pistacia.terebinthus,5.8,6.4,Yes,0.049,2.0,climax,1,shrub
Magnoliopsida,Rosales,Rosaceae,Sorbus,Sorbus.aria,11.0,11.0,Yes,0.008,3.0,climax,1,tree
Magnoliopsida,Euphorbiales,Thymelaeaceae,Daphne,Daphne.laureola,6.4,9.4,Yes,0.022,1.2,climax,1,shrub
Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier.ovalis,7.3,7.0,Yes,0.003,1.9,climax,1,shrub
Magnoliopsida,Rhamnales,Rhamnaceae,Rhamnus,Rhamnus.myrtifolius,6.8,6.2,Yes,0.016,0.3,climax,1,shrub
Magnoliopsida,Rhamnales,Rhamnaceae,Rhamnus,Rhamnus.saxatilis,6.1,5.7,Yes,0.012,1.0,climax,1,shrub
Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera.splendida,7.9,11.8,Yes,0.007,2.0,climax,1,liana
Gymnospermae,Pinopsida,Cupressaceae,Juniperus,Juniperus.oxycedrus,12.9,11.3,Yes,0.062,2.8,climax,1,tree
Magnoliopsida,Dilleniales,Paeoniaceae,Paeonia,Paeonia.officinalis,6.9,9.3,Yes,0.136,0.7,climax,1,herb
